Epoch;ErrorScore;w1;b1;b2
139;22.295;9.83664;-0.102647;7.8166
140;36.1851;9.35689;-0.476522;7.30461
141;21.2531;7.95128;-1.96507;6.38359
142;9.50543;7.95532;-2.35077;6.47846
143;26.6979;9.49341;-1.08728;7.55092
144;18.5347;8.06929;-2.50658;6.5922
145;27.7459;10.1433;-0.405786;8.05309
146;22.295;9.92104;-0.102647;7.8166
147;36.1851;9.44129;-0.476522;7.30461
148;21.2531;8.03568;-1.96507;6.38359
149;9.50544;8.03972;-2.35077;6.47846
150;26.6979;9.57781;-1.08728;7.55092
151;18.5347;8.15369;-2.50658;6.5922
152;27.7459;10.2277;-0.405786;8.05309
153;22.295;10.0054;-0.102647;7.81659
154;36.1851;9.52568;-0.476522;7.30461
155;21.2531;8.12008;-1.96507;6.38359
156;9.50544;8.12412;-2.35077;6.47846
157;26.6979;9.66221;-1.08728;7.55092
158;18.5347;8.23808;-2.50658;6.5922
159;27.7459;10.3121;-0.405786;8.05309
160;22.295;10.0898;-0.102647;7.81659
161;36.1851;9.61009;-0.476522;7.3046
162;21.2531;8.20448;-1.96507;6.38359
163;9.50544;8.20852;-2.35077;6.47846
164;26.6979;9.74661;-1.08728;7.55092
165;18.5347;8.32249;-2.50658;6.5922
166;27.7459;10.3965;-0.405786;8.05309
167;22.295;10.1742;-0.102647;7.81659
168;36.1851;9.69449;-0.476522;7.3046
169;21.2531;8.28888;-1.96507;6.38359
170;9.50544;8.29292;-2.35077;6.47846
171;26.6979;9.83101;-1.08728;7.55092
172;18.5347;8.40689;-2.50658;6.5922
173;27.7459;10.4809;-0.405786;8.05308
174;22.295;10.2586;-0.102647;7.81659
175;36.1851;9.77889;-0.476522;7.3046
176;21.2531;8.37329;-1.96507;6.38359
177;9.50544;8.37732;-2.35077;6.47846
178;26.6979;9.91541;-1.08728;7.55092
179;18.5347;8.49129;-2.50658;6.59219
180;27.7459;10.5653;-0.405786;8.05308
181;22.295;10.343;-0.102647;7.81659
182;36.1851;9.86329;-0.476522;7.3046
183;21.2531;8.45769;-1.96507;6.38359
184;9.50544;8.46172;-2.35077;6.47846
185;26.6979;9.99982;-1.08728;7.55092
186;18.5347;8.57569;-2.50658;6.59219
187;27.7459;10.6497;-0.405786;8.05308
188;22.295;10.4275;-0.102647;7.81659
189;36.1851;9.94769;-0.476522;7.3046
190;21.2531;8.54209;-1.96507;6.38359
191;9.50544;8.54613;-2.35077;6.47846
192;26.6979;10.0842;-1.08728;7.55092
193;18.5347;8.66009;-2.50658;6.59219
194;27.7459;10.7341;-0.405786;8.05308
195;22.295;10.5119;-0.102647;7.81659
196;36.1851;10.0321;-0.476522;7.3046
197;21.2531;8.62649;-1.96507;6.38359
198;9.50544;8.63053;-2.35077;6.47846
199;26.6979;10.1686;-1.08728;7.55092
200;18.5347;8.7445;-2.50658;6.59219
201;27.7459;10.8185;-0.405786;8.05308
202;22.295;10.5963;-0.102647;7.81659
203;36.1851;10.1165;-0.476522;7.3046
204;21.2531;8.7109;-1.96507;6.38358
205;9.50544;8.71493;-2.35077;6.47846
206;26.6979;10.253;-1.08728;7.55092
207;18.5347;8.8289;-2.50658;6.59219
208;27.7459;10.9029;-0.405786;8.05308
209;22.295;10.6807;-0.102647;7.81658
210;36.1851;10.2009;-0.476522;7.3046
211;21.2531;8.7953;-1.96507;6.38358
212;9.50544;8.79934;-2.35077;6.47845
213;26.6979;10.3374;-1.08728;7.55091
214;18.5347;8.9133;-2.50658;6.59219
215;27.7459;10.9873;-0.405786;8.05308
216;22.295;10.7651;-0.102647;7.81658
217;36.1851;10.2853;-0.476522;7.3046
218;21.2531;8.8797;-1.96507;6.38358
219;9.50544;8.88374;-2.35077;6.47845
220;26.6979;10.4218;-1.08728;7.55091
221;18.5347;8.99771;-2.50658;6.59219
222;27.7459;11.0717;-0.405786;8.05307
223;22.295;10.8495;-0.102647;7.81658
224;36.1851;10.3697;-0.476522;7.3046
225;21.2531;8.96411;-1.96507;6.38358
226;9.50544;8.96815;-2.35077;6.47845
227;26.6979;10.5062;-1.08728;7.55091
228;18.5347;9.08211;-2.50658;6.59219
229;27.7459;11.1562;-0.405786;8.05307
230;22.295;10.9339;-0.102647;7.81658
231;36.1851;10.4541;-0.476522;7.3046
232;21.2531;9.04851;-1.96507;6.38358
233;9.50544;9.05255;-2.35077;6.47845
234;26.6979;10.5906;-1.08728;7.55091
235;18.5347;9.16652;-2.50658;6.59218
236;27.7459;11.2406;-0.405786;8.05307
237;22.295;11.0183;-0.102647;7.81658
238;36.1851;10.5385;-0.476522;7.30459
239;21.2531;9.13292;-1.96507;6.38358
240;9.50544;9.13696;-2.35077;6.47845
241;26.6979;10.6751;-1.08728;7.55091
242;18.5347;9.25092;-2.50658;6.59218
243;27.7459;11.325;-0.405786;8.05307
244;22.295;11.1027;-0.102647;7.81658
245;36.1851;10.6229;-0.476522;7.30459
246;21.2531;9.21732;-1.96507;6.38358
247;9.50544;9.22136;-2.35077;6.47845
248;26.6979;10.7595;-1.08728;7.55091
249;18.5347;9.33533;-2.50658;6.59218
250;27.7459;11.4094;-0.405786;8.05307
251;22.295;11.1871;-0.102647;7.81658
252;36.1851;10.7073;-0.476522;7.30459
253;21.2531;9.30173;-1.96507;6.38358
254;9.50544;9.30577;-2.35077;6.47845
255;26.6979;10.8439;-1.08728;7.55091
256;18.5347;9.41973;-2.50658;6.59218
257;27.7459;11.4938;-0.405786;8.05307
258;22.295;11.2715;-0.102647;7.81658
259;36.1851;10.7917;-0.476522;7.30459
260;21.2531;9.38614;-1.96507;6.38358
261;9.50544;9.39017;-2.35077;6.47845
262;26.6979;10.9283;-1.08728;7.55091
263;18.5347;9.50414;-2.50658;6.59218
264;27.7459;11.5782;-0.405786;8.05307
265;22.295;11.3559;-0.102647;7.81658
266;36.1851;10.8761;-0.476522;7.30459
267;21.2531;9.47054;-1.96507;6.38358
268;9.50544;9.47458;-2.35077;6.47845
269;26.6979;11.0127;-1.08728;7.55091
270;18.5347;9.58854;-2.50658;6.59218
271;27.7459;11.6626;-0.405786;8.05307
272;22.295;11.4403;-0.102647;7.81658
273;36.1851;10.9606;-0.476522;7.30459
274;21.2531;9.55495;-1.96507;6.38358
275;9.50544;9.55899;-2.35077;6.47845
276;26.6979;11.0971;-1.08728;7.55091
277;18.5347;9.67295;-2.50658;6.59218
278;27.7459;11.747;-0.405786;8.05307
279;22.295;11.5247;-0.102647;7.81658
280;36.1851;11.045;-0.476522;7.30459
281;21.2531;9.63935;-1.96507;6.38358
282;9.50544;9.64339;-2.35077;6.47845
283;26.6979;11.1815;-1.08728;7.55091
284;18.5347;9.75735;-2.50658;6.59218
285;27.7459;11.8314;-0.405786;8.05307
286;22.295;11.6091;-0.102647;7.81658
287;36.1851;11.1294;-0.476522;7.30459
288;21.2531;9.72376;-1.96507;6.38358
289;9.50544;9.7278;-2.35077;6.47845
290;26.6979;11.2659;-1.08728;7.55091
291;18.5347;9.84176;-2.50658;6.59218
292;27.7459;11.9158;-0.405786;8.05307
293;22.295;11.6935;-0.102647;7.81658
294;36.1851;11.2138;-0.476522;7.30459
295;21.2531;9.80817;-1.96507;6.38358
296;9.50544;9.81221;-2.35077;6.47845
297;26.6979;11.3503;-1.08728;7.55091
298;18.5347;9.92617;-2.50658;6.59218
299;27.7459;12.0002;-0.405786;8.05307
300;22.295;11.7779;-0.102647;7.81658
301;36.1851;11.2982;-0.476522;7.30459
302;21.2531;9.89257;-1.96507;6.38358
303;9.50544;9.89661;-2.35077;6.47845
304;26.6979;11.4347;-1.08728;7.55091
305;18.5347;10.0106;-2.50658;6.59218
306;27.7459;12.0846;-0.405786;8.05307
307;22.295;11.8623;-0.102647;7.81658
308;36.1851;11.3826;-0.476522;7.30459
309;21.2531;9.97698;-1.96507;6.38358
310;9.50544;9.98102;-2.35077;6.47845
311;26.6979;11.5191;-1.08728;7.55091
312;18.5347;10.095;-2.50658;6.59218
313;27.7459;12.169;-0.405786;8.05307
314;22.295;11.9467;-0.102647;7.81658
315;36.1851;11.467;-0.476522;7.30459
316;21.2531;10.0614;-1.96507;6.38358
317;9.50544;10.0654;-2.35077;6.47845
318;26.6979;11.6035;-1.08728;7.55091
319;18.5347;10.1794;-2.50658;6.59218
320;27.7459;12.2534;-0.405786;8.05307
321;22.295;12.0312;-0.102647;7.81658
322;36.1851;11.5514;-0.476522;7.30459
323;21.2531;10.1458;-1.96507;6.38358
324;9.50544;10.1498;-2.35077;6.47845
325;26.6979;11.6879;-1.08728;7.55091
326;18.5347;10.2638;-2.50658;6.59218
327;27.7459;12.3378;-0.405786;8.05307
328;22.295;12.1156;-0.102647;7.81658
329;36.1851;11.6358;-0.476522;7.30459
330;21.2531;10.2302;-1.96507;6.38358
331;9.50544;10.2342;-2.35077;6.47845
332;26.6979;11.7723;-1.08728;7.55091
333;18.5347;10.3482;-2.50658;6.59218
334;27.7459;12.4222;-0.405786;8.05307
335;22.295;12.2;-0.102647;7.81658
336;36.1851;11.7202;-0.476522;7.30459
337;21.2531;10.3146;-1.96507;6.38358
338;9.50544;10.3186;-2.35077;6.47845
339;26.6979;11.8567;-1.08728;7.55091
340;18.5347;10.4326;-2.50658;6.59218
341;27.7459;12.5067;-0.405786;8.05307
342;22.295;12.2844;-0.102647;7.81658
343;36.1851;11.8046;-0.476522;7.30459
344;21.2531;10.399;-1.96507;6.38358
345;9.50544;10.4031;-2.35077;6.47845
346;26.6979;11.9411;-1.08728;7.55091
347;18.5347;10.517;-2.50658;6.59218
348;27.7459;12.5911;-0.405786;8.05307
349;22.295;12.3688;-0.102647;7.81658
350;36.1851;11.889;-0.476522;7.30459
351;21.2531;10.4834;-1.96507;6.38358
352;9.50544;10.4875;-2.35077;6.47845
353;26.6979;12.0256;-1.08728;7.55091
354;18.5347;10.6014;-2.50658;6.59218
355;27.7459;12.6755;-0.405786;8.05307
356;22.295;12.4532;-0.102647;7.81658
357;36.1851;11.9734;-0.476522;7.30459
358;21.2531;10.5678;-1.96507;6.38358
359;9.50544;10.5719;-2.35077;6.47845
360;26.6979;12.11;-1.08728;7.55091
361;18.5347;10.6858;-2.50658;6.59218
362;27.7459;12.7599;-0.405786;8.05306
363;22.295;12.5376;-0.102647;7.81658
364;36.1851;12.0578;-0.476522;7.30459
365;21.2531;10.6522;-1.96507;6.38358
366;9.50544;10.6563;-2.35077;6.47845
367;26.6979;12.1944;-1.08728;7.55091
368;18.5347;10.7702;-2.50658;6.59218
369;27.7459;12.8443;-0.405786;8.05306
370;22.295;12.622;-0.102647;7.81658
371;36.1851;12.1422;-0.476522;7.30459
372;21.2531;10.7366;-1.96507;6.38358
373;9.50545;10.7407;-2.35077;6.47845
374;26.6979;12.2788;-1.08728;7.55091
375;18.5347;10.8546;-2.50658;6.59218
376;27.7459;12.9287;-0.405786;8.05306
377;22.295;12.7064;-0.102647;7.81658
378;36.1851;12.2267;-0.476522;7.30459
379;21.2531;10.8211;-1.96507;6.38358
380;9.50545;10.8251;-2.35077;6.47845
381;26.6979;12.3632;-1.08728;7.55091
382;18.5347;10.9391;-2.50658;6.59218
383;27.7459;13.0131;-0.405786;8.05306
384;22.295;12.7908;-0.102647;7.81658
385;36.1851;12.3111;-0.476522;7.30459
386;21.2531;10.9055;-1.96507;6.38358
387;9.50545;10.9095;-2.35077;6.47845
388;26.6979;12.4476;-1.08728;7.55091
389;18.5347;11.0235;-2.50658;6.59218
390;27.7459;13.0975;-0.405786;8.05306
391;22.295;12.8752;-0.102647;7.81658
392;36.1851;12.3955;-0.476522;7.30459
393;21.2531;10.9899;-1.96507;6.38358
394;9.50545;10.9939;-2.35077;6.47845
395;26.6979;12.532;-1.08728;7.55091
396;18.5347;11.1079;-2.50658;6.59218
397;27.7459;13.1819;-0.405786;8.05306
398;22.295;12.9596;-0.102647;7.81658
399;36.1851;12.4799;-0.476522;7.30459
400;21.2531;11.0743;-1.96507;6.38358
401;9.50545;11.0783;-2.35077;6.47845
402;26.6979;12.6164;-1.08728;7.55091
403;18.5347;11.1923;-2.50658;6.59218
404;27.7459;13.2663;-0.405786;8.05306
405;22.295;13.044;-0.102647;7.81658
406;36.1851;12.5643;-0.476522;7.30459
407;21.2531;11.1587;-1.96507;6.38358
408;9.50545;11.1627;-2.35077;6.47845
409;26.6979;12.7008;-1.08728;7.55091
410;18.5347;11.2767;-2.50658;6.59218
411;27.7459;13.3507;-0.405786;8.05306
412;22.295;13.1285;-0.102647;7.81658
413;36.1851;12.6487;-0.476522;7.30459
414;21.2531;11.2431;-1.96507;6.38358
415;9.50545;11.2471;-2.35077;6.47845
416;26.6979;12.7852;-1.08728;7.55091
417;18.5347;11.3611;-2.50658;6.59218
418;27.7459;13.4351;-0.405786;8.05306
419;22.295;13.2129;-0.102647;7.81658
420;36.1851;12.7331;-0.476522;7.30459
421;21.2531;11.3275;-1.96507;6.38358
422;9.50545;11.3315;-2.35077;6.47845
423;26.6979;12.8696;-1.08728;7.55091
424;18.5347;11.4455;-2.50658;6.59218
425;27.7459;13.5195;-0.405786;8.05306
426;22.295;13.2973;-0.102647;7.81658
427;36.1851;12.8175;-0.476522;7.30459
428;21.2531;11.4119;-1.96507;6.38358
429;9.50545;11.4159;-2.35077;6.47845
430;26.6979;12.954;-1.08728;7.55091
431;18.5347;11.5299;-2.50658;6.59218
432;27.7459;13.6039;-0.405786;8.05306
433;22.295;13.3817;-0.102647;7.81658
434;36.1851;12.9019;-0.476522;7.30459
435;21.2531;11.4963;-1.96507;6.38358
436;9.50545;11.5004;-2.35077;6.47845
437;26.6979;13.0384;-1.08728;7.55091
438;18.5347;11.6143;-2.50658;6.59218
439;27.7459;13.6884;-0.405786;8.05306
440;22.295;13.4661;-0.102647;7.81658
441;36.1851;12.9863;-0.476522;7.30459
442;21.2531;11.5807;-1.96507;6.38358
443;9.50545;11.5848;-2.35077;6.47845
444;26.6979;13.1229;-1.08728;7.55091
445;18.5347;11.6987;-2.50658;6.59218
446;27.7459;13.7728;-0.405786;8.05306
447;22.295;13.5505;-0.102647;7.81658
448;36.1851;13.0707;-0.476522;7.30459
449;21.2531;11.6651;-1.96507;6.38358
450;9.50545;11.6692;-2.35077;6.47845
451;26.6979;13.2073;-1.08728;7.55091
452;18.5347;11.7831;-2.50658;6.59218
453;27.7459;13.8572;-0.405786;8.05306
454;22.295;13.6349;-0.102647;7.81658
455;36.1851;13.1551;-0.476522;7.30459
456;21.2531;11.7495;-1.96507;6.38358
457;9.50545;11.7536;-2.35077;6.47845
458;26.6979;13.2917;-1.08728;7.55091
459;18.5347;11.8675;-2.50658;6.59218
460;27.7459;13.9416;-0.405786;8.05306
461;22.295;13.7193;-0.102647;7.81658
462;36.1851;13.2395;-0.476522;7.30459
463;21.2531;11.8339;-1.96507;6.38358
464;9.50545;11.838;-2.35077;6.47845
465;26.6979;13.3761;-1.08728;7.55091
466;18.5347;11.9519;-2.50658;6.59218
467;27.7459;14.026;-0.405786;8.05306
468;22.295;13.8037;-0.102647;7.81658
469;36.1851;13.324;-0.476522;7.30459
470;21.2531;11.9183;-1.96507;6.38358
471;9.50545;11.9224;-2.35077;6.47845
472;26.6979;13.4605;-1.08728;7.55091
473;18.5347;12.0364;-2.50658;6.59218
474;27.7459;14.1104;-0.405786;8.05306
475;22.295;13.8881;-0.102647;7.81658
476;36.1851;13.4084;-0.476522;7.30459
477;21.2531;12.0028;-1.96507;6.38358
478;9.50545;12.0068;-2.35077;6.47845
479;26.6979;13.5449;-1.08728;7.55091
480;18.5347;12.1208;-2.50658;6.59218
481;27.7459;14.1948;-0.405786;8.05306
482;22.295;13.9725;-0.102647;7.81658
483;36.1851;13.4928;-0.476522;7.30459
484;21.2531;12.0872;-1.96507;6.38358
485;9.50545;12.0912;-2.35077;6.47845
486;26.6979;13.6293;-1.08728;7.55091
487;18.5347;12.2052;-2.50658;6.59218
488;27.7459;14.2792;-0.405786;8.05306
489;22.295;14.0569;-0.102647;7.81658
490;36.1851;13.5772;-0.476522;7.30459
491;21.2531;12.1716;-1.96507;6.38358
492;9.50545;12.1756;-2.35077;6.47845
493;26.6979;13.7137;-1.08728;7.55091
494;18.5347;12.2896;-2.50658;6.59218
495;27.7459;14.3636;-0.405786;8.05306
496;22.295;14.1413;-0.102647;7.81658
497;36.1851;13.6616;-0.476522;7.30459
498;21.2531;12.256;-1.96507;6.38358
499;9.50545;12.26;-2.35077;6.47845
500;26.6979;13.7981;-1.08728;7.55091
501;18.5347;12.374;-2.50658;6.59218
502;27.7459;14.448;-0.405786;8.05306
503;22.295;14.2258;-0.102647;7.81658
504;36.1851;13.746;-0.476522;7.30459
505;21.2531;12.3404;-1.96507;6.38358
506;9.50545;12.3444;-2.35077;6.47845
507;26.6979;13.8825;-1.08728;7.55091
508;18.5347;12.4584;-2.50658;6.59218
509;27.7459;14.5324;-0.405786;8.05306
510;22.295;14.3102;-0.102647;7.81658
511;36.1851;13.8304;-0.476522;7.30459
512;21.2531;12.4248;-1.96507;6.38358
513;9.50545;12.4288;-2.35077;6.47845
514;26.6979;13.9669;-1.08728;7.55091
515;18.5347;12.5428;-2.50658;6.59218
516;27.7459;14.6168;-0.405786;8.05306
517;22.295;14.3946;-0.102647;7.81658
518;36.1851;13.9148;-0.476522;7.30459
519;21.2531;12.5092;-1.96507;6.38358
520;9.50545;12.5132;-2.35077;6.47845
521;26.6979;14.0513;-1.08728;7.55091
522;18.5347;12.6272;-2.50658;6.59218
523;27.7459;14.7013;-0.405786;8.05306
524;22.295;14.479;-0.102647;7.81658
525;36.1851;13.9992;-0.476522;7.30459
526;21.2531;12.5936;-1.96507;6.38358
527;9.50545;12.5977;-2.35077;6.47845
528;26.6979;14.1357;-1.08728;7.55091
529;18.5347;12.7116;-2.50658;6.59218
530;27.7459;14.7857;-0.405786;8.05306
531;22.295;14.5634;-0.102647;7.81658
532;36.1851;14.0836;-0.476522;7.30459
533;21.2531;12.678;-1.96507;6.38358
534;9.50545;12.6821;-2.35077;6.47845
535;26.6979;14.2202;-1.08728;7.55091
536;18.5347;12.796;-2.50658;6.59218
537;27.7459;14.8701;-0.405786;8.05306
538;22.295;14.6478;-0.102647;7.81658
539;36.1851;14.168;-0.476522;7.30459
540;21.2531;12.7624;-1.96507;6.38358
541;9.50545;12.7665;-2.35077;6.47845
542;26.6979;14.3046;-1.08728;7.55091
543;18.5347;12.8804;-2.50658;6.59218
544;27.7459;14.9545;-0.405786;8.05306
545;22.295;14.7322;-0.102647;7.81658
546;36.1851;14.2524;-0.476522;7.30459
547;21.2531;12.8468;-1.96507;6.38358
548;9.50545;12.8509;-2.35077;6.47845
549;26.6979;14.389;-1.08728;7.55091
550;18.5347;12.9648;-2.50658;6.59218
551;27.7459;15.0389;-0.405786;8.05306
552;22.295;14.8166;-0.102647;7.81658
553;36.1851;14.3368;-0.476522;7.30459
554;21.2531;12.9312;-1.96507;6.38358
555;9.50545;12.9353;-2.35077;6.47845
556;26.6979;14.4734;-1.08728;7.55091
557;18.5347;13.0492;-2.50658;6.59218
558;27.7459;15.1233;-0.405786;8.05306
559;22.295;14.901;-0.102647;7.81658
560;36.1851;14.4213;-0.476522;7.30459
561;21.2531;13.0157;-1.96507;6.38358
562;9.50545;13.0197;-2.35077;6.47845
563;26.6979;14.5578;-1.08728;7.55091
564;18.5347;13.1337;-2.50658;6.59218
565;27.7459;15.2077;-0.405786;8.05306
566;22.295;14.9854;-0.102647;7.81658
567;36.1851;14.5057;-0.476522;7.30459
568;21.2531;13.1001;-1.96507;6.38358
569;9.50545;13.1041;-2.35077;6.47845
570;26.6979;14.6422;-1.08728;7.55091
571;18.5347;13.2181;-2.50658;6.59218
572;27.7459;15.2921;-0.405786;8.05306
573;22.295;15.0698;-0.102647;7.81658
574;36.1851;14.5901;-0.476522;7.30459
575;21.2531;13.1845;-1.96507;6.38358
576;9.50545;13.1885;-2.35077;6.47845
577;26.6979;14.7266;-1.08728;7.55091
578;18.5347;13.3025;-2.50658;6.59218
579;27.7459;15.3765;-0.405786;8.05306
580;22.295;15.1542;-0.102647;7.81658
581;36.1851;14.6745;-0.476522;7.30459
582;21.2531;13.2689;-1.96507;6.38358
583;9.50545;13.2729;-2.35077;6.47845
584;26.6979;14.811;-1.08728;7.55091
585;18.5347;13.3869;-2.50658;6.59218
586;27.7459;15.4609;-0.405786;8.05306
587;22.295;15.2386;-0.102647;7.81658
588;36.1851;14.7589;-0.476522;7.30459
589;21.2531;13.3533;-1.96507;6.38358
590;9.50545;13.3573;-2.35077;6.47845
591;26.6979;14.8954;-1.08728;7.55091
592;18.5347;13.4713;-2.50658;6.59218
593;27.7459;15.5453;-0.405786;8.05306
594;22.295;15.3231;-0.102647;7.81658
595;36.1851;14.8433;-0.476522;7.30459
596;21.2531;13.4377;-1.96507;6.38358
597;9.50545;13.4417;-2.35077;6.47845
598;26.6979;14.9798;-1.08728;7.55091
599;18.5347;13.5557;-2.50658;6.59218
600;27.7459;15.6297;-0.405786;8.05306
601;22.295;15.4075;-0.102647;7.81658
602;36.1851;14.9277;-0.476522;7.30459
