Epoch;ErrorScore;w1;b1;b2
138;5.33781;3.49223;-1.33305;5.8084
139;8.13085;3.57811;-1.31165;5.87287
140;7.25402;3.59806;-1.30215;5.88332
141;12.7273;3.45;-1.32627;5.75938
142;5.69813;3.47506;-1.32505;5.78322
143;7.99604;3.58669;-1.29851;5.86832
144;8.90837;3.4747;-1.32243;5.78024
145;5.3595;3.49318;-1.32574;5.80203
146;8.16199;3.57921;-1.30455;5.86687
147;7.27837;3.5991;-1.29532;5.87754
148;12.7575;3.45099;-1.31963;5.75373
149;5.72095;3.47608;-1.31861;5.7778
150;8.02881;3.58791;-1.29223;5.86325
151;8.9382;3.47563;-1.31641;5.77516
152;5.37643;3.49392;-1.32005;5.79708
153;8.18627;3.58006;-1.29902;5.8622
154;7.29735;3.59991;-1.29001;5.87303
155;12.7811;3.45176;-1.31446;5.74933
156;5.73874;3.47688;-1.3136;5.77359
157;8.05436;3.58886;-1.28734;5.85931
158;8.96144;3.47636;-1.31174;5.77121
159;5.38963;3.49449;-1.31562;5.79322
160;8.20518;3.58073;-1.29472;5.85856
161;7.31213;3.60054;-1.28588;5.86953
162;12.7994;3.45236;-1.31044;5.74591
163;5.7526;3.4775;-1.3097;5.77031
164;8.07427;3.58959;-1.28354;5.85625
165;8.97954;3.47692;-1.3081;5.76813
166;5.39992;3.49493;-1.31218;5.79023
167;8.21991;3.58124;-1.29138;5.85574
168;7.32365;3.60103;-1.28267;5.86681
169;12.8137;3.45283;-1.30731;5.74326
170;5.7634;3.47798;-1.30667;5.76776
171;8.08977;3.59017;-1.28058;5.85386
172;8.99363;3.47736;-1.30527;5.76574
173;5.40794;3.49528;-1.30951;5.7879
174;8.23138;3.58164;-1.28878;5.85354
175;7.33261;3.60141;-1.28017;5.86469
176;12.8248;3.45319;-1.30488;5.74119
177;5.7718;3.47835;-1.30431;5.76577
178;8.10184;3.59061;-1.27828;5.85201
179;9.00459;3.4777;-1.30307;5.76388
180;5.41418;3.49555;-1.30742;5.78608
181;8.24031;3.58196;-1.28676;5.85183
182;7.33959;3.6017;-1.27822;5.86304
183;12.8334;3.45348;-1.30299;5.73958
184;5.77835;3.47864;-1.30248;5.76423
185;8.11123;3.59096;-1.27649;5.85057
186;9.01313;3.47797;-1.30135;5.76243
187;5.41903;3.49576;-1.3058;5.78467
188;8.24725;3.5822;-1.28519;5.8505
189;7.34502;3.60193;-1.27671;5.86176
190;12.8401;3.4537;-1.30152;5.73833
191;5.78344;3.47887;-1.30105;5.76303
192;8.11854;3.59123;-1.2751;5.84944
193;9.01977;3.47817;-1.30002;5.76131
194;5.42281;3.49592;-1.30455;5.78358
195;8.25266;3.58239;-1.28397;5.84947
196;7.34924;3.60211;-1.27554;5.86076
197;12.8454;3.45387;-1.30038;5.73735
198;5.7874;3.47904;-1.29994;5.7621
199;8.12423;3.59144;-1.27402;5.84857
200;9.02493;3.47833;-1.29899;5.76043
201;5.42575;3.49604;-1.30357;5.78272
202;8.25686;3.58253;-1.28302;5.84866
203;7.35253;3.60225;-1.27462;5.85999
204;12.8494;3.454;-1.29949;5.7366
205;5.79049;3.47918;-1.29908;5.76137
206;8.12865;3.5916;-1.27318;5.84789
207;9.02895;3.47846;-1.29818;5.75975
208;5.42804;3.49614;-1.30281;5.78206
209;8.26013;3.58265;-1.28228;5.84804
210;7.35509;3.60236;-1.27391;5.85938
